Customer_ID - Duplicates
Credit_Score - Missing Data - K Nearest Neighbors
Duration_of_Credit - Missing Data - Imputation
Age - Outliers - Recode (Brushing)
Create Age_Binned - Data Transformation - Recode
Payments_of_Previous_Credits - N/A - Text Imputation
Purpose_of_Credit - Categorical Outliers
Invariant???
K981309;472;no running account;36;no problems with current credits;retraining;$3 003,00;no savings;5-8 years;25-35;single;male;< 1 year;life insurance;22;no further running credits;rented;2- 4;skilled employee;Urban;1;Test;0,818916706;bad
J9127904;575;no balance;;hesistant;retraining;$17 085,60;>1400;1-5 years;25-35;single;male;1-5 years;life insurance;46;at other banks;rented;one;executive/self-employed;Rural;0;Train;0,166850071;good
K7048491;416;>$300;;no previous credits;used car;$15 363,60;no savings;unemployed;< 15;divorced/living apart/married;female;1-5 years;life insurance;24;no further running credits;rented;2- 4;executive/self-employed;Rural;0;Train;0,962542646;bad
M5716167;642;no running account;24;;new car;$8 986,60;no savings;> 8 years;25-35;divorced/living apart/married;female;>8 years;ownership of house or land;42;no further running credits;owned;2- 4;executive/self-employed;Rural;0;Test;0,262937236;good
M5716167;;>$300;24;no previous credits;y;$1 761,20;no savings;5-8 years;< 15;single;male;< 1 year;no assets;23;no further running credits;rented;one;skilled employee;Urban;0;Test;0,548846565;good
M2685171;656;no balance;12;no previous credits;retraining;$1 451,80;<140;5-8 years;15- 25;single;male;>8 years;no assets;37;no further running credits;rented;one;unskilled with permanant residence;Urban;0;Train;0,221990535;good
J6267232;423;no running account;30;N/A;used car;$4 351,20;no savings;<1 year;25-35;divorced/living apart;male;>8 years;car;29;no further running credits;rented;one;unskilled with permanant residence;Rural;1;Train;0,0217372723;bad
J2876388;;no balance;;N/A;x;$2 151,80;>1400;> 8 years;< 15;single;male;>8 years;no assets;48;no further running credits;rented;2- 4;skilled employee;Rural;0;Test;0,0983957408;good
K2160376;566;>$300;;paid back;furniture;$2 059,40;no savings;1-5 years;< 15;single;male;>8 years;ownership of house or land;33;no further running credits;owned;2- 4;skilled employee;Urban;0;Train;0,984064356;good
M3856401;534;no balance;;paid back;furniture;$3 528,00;140-700;1-5 years;< 15;single;male;1-5 years;car;21;no further running credits;rented;2- 4;unskilled with permanant residence;Suburban;0;Train;0,984064356;bad
J4474939;409;no balance;;N/A;used car;$5 679,80;no savings;5-8 years;15- 25;divorced/living apart;male;5-8 years;life insurance;41;no further running credits;rented;one;skilled employee;Urban;0;Train;0,984064356;bad
M9846199;402;no running account;;no previous credits;repair;$1 050,00;no savings;unemployed;< 15;divorced/living apart/married;female;< 1 year;no assets;25;no further running credits;rented;one;unskilled with no permanant residence;Urban;0;Train;0,984064356;bad
M5029614;444;no balance;;no problems with current credits;retraining;$6 237,00;no savings;1-5 years;25-35;divorced/living apart;male;1-5 years;no assets;28;at department store;rented;2- 4;executive/self-employed;Urban;0;Train;0,984064356;bad
M5029614;;>$300;;no problems with current credits;retraining;$2 440,20;<140;1-5 years;> 35;single;male;1-5 years;no assets;32;no further running credits;rented;2- 4;unskilled with permanant residence;Urban;0;Test;0,984064356;good
R1260550;607;no running account;;no previous credits;z;$2 650,20;no savings;1-5 years;< 15;divorced/living apart/married;female;>8 years;car;27;no further running credits;rented;one;skilled employee;Urban;0;Train;0,984064356;good
J7427442;629;>$300;;N/A;furniture;$10 032,40;>1400;5-8 years;25-35;married/widowed;male;>8 years;car;27;no further running credits;free;one;skilled employee;Urban;0;Test;0,984064356;good
K7211170;605;no running account;;no previous credits;new car;$6 703,20;no savings;5-8 years;< 15;single;male;5-8 years;car;24;no further running credits;rented;one;skilled employee;Urban;0;Train;0,984064356;good
K3174413;366;no balance;24;problematic running accounts;repair;$2 571,80;no savings;5-8 years;< 15;divorced/living apart/married;female;>8 years;ownership of house or land;32;at other banks;owned;one;unskilled with permanant residence;Urban;1;Train;0,984064356;bad
K1166518;;no balance;24;paid back;other;$5 429,20;<140;<1 year;< 15;divorced/living apart;male;1-5 years;life insurance;35;no further running credits;rented;one;skilled employee;Rural;0;Test;0,984064356;good
K4879749;648;no balance;;no previous credits;x;$7 533,40;>1400;unemployed;15- 25;single;male;>8 years;ownership of house or land;38;at other banks;owned;one;unskilled with no permanant residence;Urban;0;Train;0,984064356;good
K2440304;659;<= $300;12;no previous credits;furniture;$4 758,60;>1400;> 8 years;25-35;single;male;5-8 years;life insurance;35;no further running credits;rented;one;executive/self-employed;Suburban;0;Train;0,984064356;good
J4039490;644;>$300;24;N/A;used car;$2 839,20;no savings;5-8 years;25-35;single;male;1-5 years;car;28;no further running credits;rented;2- 4;unskilled with permanant residence;Rural;0;Train;0,984064356;good
J7419570;652;no running account;;N/A;other;$7 422,80;no savings;> 8 years;25-35;single;male;>8 years;ownership of house or land;34;no further running credits;owned;5- 6;executive/self-employed;Urban;0;Train;0,984064356;good
J7419570;627;>$300;;no previous credits;other;$2 637,60;no savings;> 8 years;< 15;single;male;>8 years;life insurance;37;no further running credits;rented;one;executive/self-employed;Suburban;0;Test;0,984064356;good
K4269282;463;>$300;;no previous credits;other;$1 832,60;>1400;1-5 years;< 15;single;male;>8 years;car;25;no further running credits;rented;one;unskilled with permanant residence;Rural;0;Train;0,984064356;bad
J1283568;588;no balance;48;no problems with current credits;business;$10 614,80;<140;unemployed;25-35;single;male;>8 years;ownership of house or land;29;no further running credits;rented;one;executive/self-employed;Rural;0;Train;0,984064356;good
J389059;;no balance;24;N/A;used car;$2 889,60;no savings;unemployed;15- 25;divorced/living apart/married;female;1-5 years;car;32;no further running credits;rented;one;executive/self-employed;Suburban;0;Train;0,984064356;bad
M7532847;732;>$300;33;paid back;z;$10 154,20;no savings;5-8 years;15- 25;single;male;1-5 years;life insurance;33;no further running credits;rented;2- 4;executive/self-employed;Rural;0;Test;0,984064356;good
M7532847;701;no balance;;no previous credits;furniture;$2 193,80;no savings;1-5 years;> 35;divorced/living apart/married;female;< 1 year;life insurance;20;no further running credits;rented;one;skilled employee;Rural;0;Test;0,984064356;good
K5395261;616;no balance;12;no previous credits;furniture;$1 617,00;no savings;> 8 years;15- 25;married/widowed;male;5-8 years;no assets;38;at other banks;rented;2- 4;unskilled with permanant residence;Suburban;0;Test;0,984064356;good
R6807279;396;>$300;36;paid back;other;$10 997,00;no savings;1-5 years;< 15;divorced/living apart/married;female;1-5 years;no assets;23;at department store;rented;2- 4;skilled employee;Suburban;1;Train;0,984064356;bad
J1083771;627;no running account;12;N/A;used car;$1 804,60;no savings;1-5 years;< 15;single;male;< 1 year;car;19;no further running credits;rented;one;unskilled with permanant residence;Suburban;0;Test;0,984064356;good
J2205906;642;no running account;6;paid back;furniture;$1 636,60;>1400;> 8 years;< 15;single;male;>8 years;no assets;65;no further running credits;rented;2- 4;skilled employee;Rural;0;Train;0,984064356;good
R1939896;411;no balance;30;paid back;other;$5 948,60;no savings;unemployed;< 15;married/widowed;male;1-5 years;life insurance;26;no further running credits;rented;2- 4;executive/self-employed;Rural;1;Train;0,984064356;bad
M5074319;579;>$300;24;no previous credits;other;$10 350,20;no savings;1-5 years;> 35;single;male;>8 years;car;41;no further running credits;rented;one;unskilled with permanant residence;Rural;0;Test;0,984064356;good
R440115;454;no running account;;paid back;other;$3 675,00;no savings;> 8 years;25-35;single;male;>8 years;car;41;no further running credits;free;one;skilled employee;Urban;1;Train;0,984064356;bad
K5187719;402;no running account;;no previous credits;television;$1 037,40;<140;unemployed;< 15;divorced/living apart/married;female;5-8 years;car;20;no further running credits;rented;one;skilled employee;Suburban;0;Test;0,984064356;bad
J7238888;655;>$300;;N/A;other;$2 987,60;no savings;1-5 years;< 15;single;male;>8 years;life insurance;46;no further running credits;rented;5- 6;skilled employee;Suburban;0;Test;0,984064356;good
J2953765;521;>$300;;N/A;other;$3 598,00;no savings;1-5 years;15- 25;divorced/living apart/married;female;5-8 years;no assets;19;no further running credits;free;one;skilled employee;Suburban;0;Test;0,984064356;bad
J7887151;667;>$300;;N/A;furniture;$1 934,80;no savings;1-5 years;> 35;divorced/living apart/married;female;< 1 year;life insurance;26;no further running credits;rented;2- 4;skilled employee;Urban;0;Test;0,984064356;good
